attempt_id,event_id,endpoint_id,attempt_number,attempted_at,http_status,response_time_ms,response_body_category,timeout,signature_valid,retry_scheduled
att_1,evt_69b785d3b765,ep_c1f20289,1,2026-04-15T14:37:55.799862Z,404,252,endpoint_not_found,False,True,False
att_2,evt_c5fb5e0d5e84,ep_7de00a12,1,2026-04-15T14:37:51.812224Z,200,386,success,False,True,False
att_3,evt_db8477863a6c,ep_fdb84877,1,2026-04-15T14:38:02.823188Z,200,201,success,False,True,False
att_4,evt_d9f122c2e5db,ep_07d405ff,1,2026-04-15T14:37:09.845325Z,404,207,endpoint_not_found,False,True,True
att_5,evt_d9f122c2e5db,ep_07d405ff,2,2026-04-15T14:37:47.845325Z,404,487,endpoint_not_found,False,True,True
att_6,evt_d9f122c2e5db,ep_07d405ff,3,2026-04-15T14:39:17.845325Z,404,324,endpoint_not_found,False,True,True
att_7,evt_d9f122c2e5db,ep_07d405ff,4,2026-04-15T14:39:44.845325Z,404,219,endpoint_not_found,False,True,False
att_8,evt_5c5b35a05bc8,ep_9b8e38e4,1,2026-04-15T14:37:11.907715Z,401,178,invalid_signature,False,False,True
att_9,evt_5c5b35a05bc8,ep_9b8e38e4,2,2026-04-15T14:37:45.907715Z,401,154,invalid_signature,False,False,False
att_10,evt_87625eccbec0,ep_636f5767,1,2026-04-15T14:37:24.911106Z,200,475,success,False,True,False
att_11,evt_77b836f110bb,ep_3dd26957,1,2026-04-15T14:37:44.922898Z,404,365,endpoint_not_found,False,True,True
att_12,evt_77b836f110bb,ep_3dd26957,2,2026-04-15T14:38:00.922898Z,404,169,endpoint_not_found,False,True,False
att_13,evt_f1a55715b97b,ep_f0a72048,1,2026-04-15T14:37:39.955217Z,200,175,success,False,True,False
att_14,evt_a75cf8074088,ep_db6c24a9,1,2026-04-15T14:37:29.969007Z,413,447,payload_too_large,False,True,True
att_15,evt_a75cf8074088,ep_db6c24a9,2,2026-04-15T14:38:52.969007Z,413,473,payload_too_large,False,True,True
att_16,evt_a75cf8074088,ep_db6c24a9,3,2026-04-15T14:41:26.969007Z,413,223,payload_too_large,False,True,True
att_17,evt_a75cf8074088,ep_db6c24a9,4,2026-04-15T14:44:27.969007Z,413,407,payload_too_large,False,True,False
att_18,evt_bb3bc6b50bdc,ep_d05d34e0,1,2026-04-15T15:37:38.784448Z,404,189,endpoint_not_found,False,True,True
att_19,evt_bb3bc6b50bdc,ep_d05d34e0,2,2026-04-15T15:39:05.784448Z,404,277,endpoint_not_found,False,True,True
att_20,evt_bb3bc6b50bdc,ep_d05d34e0,3,2026-04-15T15:41:09.784448Z,404,230,endpoint_not_found,False,True,False
att_21,evt_7db61483191e,ep_38125457,1,2026-04-15T15:37:44.797256Z,413,159,payload_too_large,False,True,True
att_22,evt_7db61483191e,ep_38125457,2,2026-04-15T15:38:53.797256Z,413,410,payload_too_large,False,True,True
att_23,evt_7db61483191e,ep_38125457,3,2026-04-15T15:41:07.797256Z,413,202,payload_too_large,False,True,False
att_24,evt_25ab06afed3d,ep_fdb06a07,1,2026-04-15T15:37:58.810605Z,200,150,success,False,True,False
att_25,evt_16381c9f33c3,ep_c37c4b40,1,2026-04-15T15:37:49.822642Z,200,310,success,False,True,False
att_26,evt_ebe992eb60f5,ep_cbe29bb1,1,2026-04-15T15:37:15.836160Z,413,304,payload_too_large,False,True,True
att_27,evt_ebe992eb60f5,ep_cbe29bb1,2,2026-04-15T15:37:50.836160Z,413,274,payload_too_large,False,True,True
att_28,evt_ebe992eb60f5,ep_cbe29bb1,3,2026-04-15T15:38:00.836160Z,413,136,payload_too_large,False,True,True
att_29,evt_ebe992eb60f5,ep_cbe29bb1,4,2026-04-15T15:40:34.836160Z,413,289,payload_too_large,False,True,True
att_30,evt_ebe992eb60f5,ep_cbe29bb1,5,2026-04-15T15:42:23.836160Z,413,87,payload_too_large,False,True,False
att_31,evt_ea06cf939d54,ep_642a1cb2,1,2026-04-15T15:37:23.865688Z,413,420,payload_too_large,False,True,True
att_32,evt_ea06cf939d54,ep_642a1cb2,2,2026-04-15T15:38:48.865688Z,413,76,payload_too_large,False,True,True
att_33,evt_ea06cf939d54,ep_642a1cb2,3,2026-04-15T15:41:05.865688Z,413,220,payload_too_large,False,True,True
att_34,evt_ea06cf939d54,ep_642a1cb2,4,2026-04-15T15:43:20.865688Z,413,69,payload_too_large,False,True,True
att_35,evt_ea06cf939d54,ep_642a1cb2,5,2026-04-15T15:44:19.865688Z,413,134,payload_too_large,False,True,False
att_36,evt_4f85315bae7d,ep_7bf97108,1,2026-04-15T15:37:20.892998Z,413,242,payload_too_large,False,True,False
att_37,evt_a2be6d03e309,ep_f0a72048,1,2026-04-15T15:37:49.916810Z,200,56,success,False,True,False
att_38,evt_394bed7c9ae0,ep_19c0916b,1,2026-04-15T15:37:48.917682Z,500,54,malformed_response,False,True,True
att_39,evt_394bed7c9ae0,ep_19c0916b,2,2026-04-15T15:38:32.917682Z,500,333,malformed_response,False,True,True
att_40,evt_394bed7c9ae0,ep_19c0916b,3,2026-04-15T15:39:41.917682Z,500,384,malformed_response,False,True,True
att_41,evt_394bed7c9ae0,ep_19c0916b,4,2026-04-15T15:40:55.917682Z,500,181,malformed_response,False,True,False
att_42,evt_6b21d6b45a81,ep_0c51bf3a,1,2026-04-15T15:37:22.921789Z,413,85,payload_too_large,False,True,False
att_43,evt_105f1909d04b,ep_45fd4566,1,2026-04-15T15:37:05.942091Z,413,309,payload_too_large,False,True,True
att_44,evt_105f1909d04b,ep_45fd4566,2,2026-04-15T15:37:48.942091Z,413,229,payload_too_large,False,True,True
att_45,evt_105f1909d04b,ep_45fd4566,3,2026-04-15T15:39:16.942091Z,413,235,payload_too_large,False,True,True
att_46,evt_105f1909d04b,ep_45fd4566,4,2026-04-15T15:42:45.942091Z,413,71,payload_too_large,False,True,False
att_47,evt_8ebe2c28c713,ep_f5e4fc23,1,2026-04-15T15:37:50.951934Z,413,89,payload_too_large,False,True,True
att_48,evt_8ebe2c28c713,ep_f5e4fc23,2,2026-04-15T15:38:45.951934Z,413,92,payload_too_large,False,True,True
att_49,evt_8ebe2c28c713,ep_f5e4fc23,3,2026-04-15T15:40:59.951934Z,413,341,payload_too_large,False,True,True
att_50,evt_8ebe2c28c713,ep_f5e4fc23,4,2026-04-15T15:42:23.951934Z,413,300,payload_too_large,False,True,False
att_51,evt_7e16132df535,ep_a07e6f0d,1,2026-04-15T15:37:23.966009Z,413,429,payload_too_large,False,True,True
att_52,evt_7e16132df535,ep_a07e6f0d,2,2026-04-15T15:39:18.966009Z,413,439,payload_too_large,False,True,True
att_53,evt_7e16132df535,ep_a07e6f0d,3,2026-04-15T15:40:43.966009Z,413,463,payload_too_large,False,True,True
att_54,evt_7e16132df535,ep_a07e6f0d,4,2026-04-15T15:44:34.966009Z,413,17,payload_too_large,False,True,True
att_55,evt_7e16132df535,ep_a07e6f0d,5,2026-04-15T15:46:17.966009Z,413,222,payload_too_large,False,True,False
att_56,evt_447cbb524e5e,ep_5eec0e98,1,2026-04-15T15:37:30.972413Z,200,370,success,False,True,False
att_57,evt_186a032e9eac,ep_52bb0b21,1,2026-04-15T15:37:36.978378Z,200,126,success,False,True,False
att_58,evt_1a1d5cd58294,ep_9c8e5632,1,2026-04-15T15:37:10.988343Z,200,451,success,False,True,False
att_59,evt_e4b138a230cb,ep_e269dfce,1,2026-04-15T15:37:08.013901Z,200,337,success,False,True,False
att_60,evt_7cb88db393f0,ep_7f07791b,1,2026-04-15T16:37:09.785476Z,413,34,payload_too_large,False,True,True
att_61,evt_7cb88db393f0,ep_7f07791b,2,2026-04-15T16:38:41.785476Z,413,346,payload_too_large,False,True,False
att_62,evt_863f0ed75392,ep_eb633816,1,2026-04-15T16:38:01.790607Z,200,30,success,False,True,False
att_63,evt_4b57dffe4882,ep_05dffd21,1,2026-04-15T16:37:41.803573Z,404,325,endpoint_not_found,False,True,False
att_64,evt_83804691d804,ep_f6e80e8a,1,2026-04-15T16:38:04.839085Z,200,266,success,False,True,False
att_65,evt_98e706eee91a,ep_5624cf3d,1,2026-04-15T16:37:24.845345Z,413,202,payload_too_large,False,True,True
att_66,evt_98e706eee91a,ep_5624cf3d,2,2026-04-15T16:39:16.845345Z,413,13,payload_too_large,False,True,True
att_67,evt_98e706eee91a,ep_5624cf3d,3,2026-04-15T16:39:52.845345Z,413,63,payload_too_large,False,True,False
att_68,evt_51bc90fa70e8,ep_749d396f,1,2026-04-15T16:37:51.845716Z,404,449,endpoint_not_found,False,True,True
att_69,evt_51bc90fa70e8,ep_749d396f,2,2026-04-15T16:39:33.845716Z,404,309,endpoint_not_found,False,True,True
att_70,evt_51bc90fa70e8,ep_749d396f,3,2026-04-15T16:42:06.845716Z,404,433,endpoint_not_found,False,True,True
att_71,evt_51bc90fa70e8,ep_749d396f,4,2026-04-15T16:43:40.845716Z,404,330,endpoint_not_found,False,True,True
att_72,evt_51bc90fa70e8,ep_749d396f,5,2026-04-15T16:46:37.845716Z,404,346,endpoint_not_found,False,True,False
att_73,evt_b3209ec1ee64,ep_297b0983,1,2026-04-15T16:37:20.865195Z,413,312,payload_too_large,False,True,True
att_74,evt_b3209ec1ee64,ep_297b0983,2,2026-04-15T16:37:38.865195Z,413,209,payload_too_large,False,True,True
att_75,evt_b3209ec1ee64,ep_297b0983,3,2026-04-15T16:39:15.865195Z,413,262,payload_too_large,False,True,False
att_76,evt_8e26ca8619da,ep_7c047435,1,2026-04-15T16:38:03.956672Z,413,357,payload_too_large,False,True,False
att_77,evt_d2abd1321c22,ep_4cc5e42e,1,2026-04-15T16:37:10.960573Z,200,139,success,False,True,False
att_78,evt_a87303626a1c,ep_4cb15917,1,2026-04-15T16:37:20.986049Z,413,459,payload_too_large,False,True,False
att_79,evt_041d9d5b2e1c,ep_64f38ac5,1,2026-04-15T17:37:54.785852Z,413,216,payload_too_large,False,True,True
att_80,evt_041d9d5b2e1c,ep_64f38ac5,2,2026-04-15T17:39:33.785852Z,413,465,payload_too_large,False,True,False
att_81,evt_fbd25951f338,ep_f4877266,1,2026-04-15T17:37:19.789845Z,200,71,success,False,True,False
att_82,evt_9960dc8b082d,ep_aaf9058c,1,2026-04-15T17:37:11.792063Z,413,156,payload_too_large,False,True,False
att_83,evt_dbebc0dc86cd,ep_fc5246cb,1,2026-04-15T17:37:16.811199Z,413,134,payload_too_large,False,True,False
att_84,evt_3d94ff9e903c,ep_e15ed601,1,2026-04-15T17:37:07.842267Z,200,167,success,False,True,False
att_85,evt_d811ce4405e0,ep_c1edbc93,1,2026-04-15T17:37:21.873268Z,200,219,success,False,True,False
att_86,evt_6891fe0c09da,ep_6b9a9583,1,2026-04-15T17:37:42.899313Z,413,494,payload_too_large,False,True,False
att_87,evt_b887a9f620b1,ep_6538319e,1,2026-04-15T17:37:12.904545Z,200,225,success,False,True,False
att_88,evt_4d5bd7f50309,ep_1bed0018,1,2026-04-15T17:37:05.924816Z,200,227,success,False,True,False
att_89,evt_c4d28b8f0d0e,ep_a3e8cab6,1,2026-04-15T17:37:31.994773Z,413,407,payload_too_large,False,True,True
att_90,evt_c4d28b8f0d0e,ep_a3e8cab6,2,2026-04-15T17:39:12.994773Z,413,122,payload_too_large,False,True,True
att_91,evt_c4d28b8f0d0e,ep_a3e8cab6,3,2026-04-15T17:39:51.994773Z,413,34,payload_too_large,False,True,True
att_92,evt_c4d28b8f0d0e,ep_a3e8cab6,4,2026-04-15T17:42:45.994773Z,413,398,payload_too_large,False,True,True
att_93,evt_c4d28b8f0d0e,ep_a3e8cab6,5,2026-04-15T17:43:55.994773Z,413,186,payload_too_large,False,True,False
att_94,evt_76f32c045977,ep_8d36b614,1,2026-04-15T17:37:10.995691Z,413,475,payload_too_large,False,True,True
att_95,evt_76f32c045977,ep_8d36b614,2,2026-04-15T17:37:39.995691Z,413,91,payload_too_large,False,True,False
att_96,evt_d9897ffb8279,ep_45e37157,1,2026-04-15T18:37:34.817402Z,200,363,success,False,True,False
att_97,evt_4141aed968b5,ep_792ef5cf,1,2026-04-15T18:38:00.865154Z,200,136,success,False,True,False
att_98,evt_b0891b5c0790,ep_968ab453,1,2026-04-15T18:37:29.867597Z,200,153,success,False,True,False
att_99,evt_de99de2a353d,ep_d1b58d4e,1,2026-04-15T18:37:50.886069Z,200,36,success,False,True,False
att_100,evt_fdb7b5b20ecb,ep_4d4ef638,1,2026-04-15T18:37:23.906518Z,200,176,success,False,True,False
att_101,evt_dc5793471ce6,ep_f8a93ded,1,2026-04-15T18:37:11.928098Z,413,85,payload_too_large,False,True,True
att_102,evt_dc5793471ce6,ep_f8a93ded,2,2026-04-15T18:38:12.928098Z,413,295,payload_too_large,False,True,True
att_103,evt_dc5793471ce6,ep_f8a93ded,3,2026-04-15T18:39:29.928098Z,413,352,payload_too_large,False,True,True
att_104,evt_dc5793471ce6,ep_f8a93ded,4,2026-04-15T18:42:12.928098Z,413,31,payload_too_large,False,True,False
att_105,evt_0404bb972aa1,ep_a75b7382,1,2026-04-15T18:37:49.931042Z,200,453,success,False,True,False
att_106,evt_e3465a7ee407,ep_b6e78999,1,2026-04-15T18:37:53.937699Z,413,45,payload_too_large,False,True,True
att_107,evt_e3465a7ee407,ep_b6e78999,2,2026-04-15T18:38:25.937699Z,413,186,payload_too_large,False,True,False
att_108,evt_e7cab3912c5a,ep_b9694d77,1,2026-04-15T18:37:59.947988Z,200,407,success,False,True,False
att_109,evt_73df5d361217,ep_9a85403d,1,2026-04-15T18:37:30.948999Z,404,253,endpoint_not_found,False,True,True
att_110,evt_73df5d361217,ep_9a85403d,2,2026-04-15T18:38:45.948999Z,404,309,endpoint_not_found,False,True,True
att_111,evt_73df5d361217,ep_9a85403d,3,2026-04-15T18:41:09.948999Z,404,213,endpoint_not_found,False,True,False
att_112,evt_7070ff1df9f4,ep_9f6028d9,1,2026-04-15T18:37:18.961616Z,413,427,payload_too_large,False,True,True
att_113,evt_7070ff1df9f4,ep_9f6028d9,2,2026-04-15T18:39:13.961616Z,413,83,payload_too_large,False,True,True
att_114,evt_7070ff1df9f4,ep_9f6028d9,3,2026-04-15T18:40:14.961616Z,413,172,payload_too_large,False,True,True
att_115,evt_7070ff1df9f4,ep_9f6028d9,4,2026-04-15T18:43:23.961616Z,413,482,payload_too_large,False,True,True
att_116,evt_7070ff1df9f4,ep_9f6028d9,5,2026-04-15T18:45:15.961616Z,413,447,payload_too_large,False,True,False
att_117,evt_b99ef7d6fdfd,ep_f49e6b4d,1,2026-04-15T18:37:52.997926Z,200,317,success,False,True,False
att_118,evt_7b04b7a33441,ep_d9d5ffe8,1,2026-04-15T18:37:23.002165Z,413,411,payload_too_large,False,True,True
att_119,evt_7b04b7a33441,ep_d9d5ffe8,2,2026-04-15T18:38:40.002165Z,413,429,payload_too_large,False,True,True
att_120,evt_7b04b7a33441,ep_d9d5ffe8,3,2026-04-15T18:39:42.002165Z,413,391,payload_too_large,False,True,True
att_121,evt_7b04b7a33441,ep_d9d5ffe8,4,2026-04-15T18:42:54.002165Z,413,93,payload_too_large,False,True,False
att_122,evt_46730ae96e75,ep_7cd61b59,1,2026-04-15T18:37:09.011632Z,200,279,success,False,True,False
att_123,evt_354fea34851b,ep_297b0983,1,2026-04-15T19:37:16.831595Z,200,189,success,False,True,False
att_124,evt_500a36322548,ep_f0a72048,1,2026-04-15T19:37:50.863320Z,200,443,success,False,True,False
