endpoint_id,customer_id,endpoint_url_type,expected_signature_version,avg_success_rate,rate_limit_per_minute,active,last_config_change_at
ep_297b0983,cus_701d4c45,staging,v2,0.99,10000,True,2025-08-31T13:37:04.759560Z
ep_ecd43527,cus_9e134787,production,v1,0.5,3000,True,2025-09-20T13:37:04.759610Z
ep_7c047435,cus_f5cd8f3b,development,v3,0.8,60,True,2025-05-17T13:37:04.759637Z
ep_ebe12d1f,cus_5b3410f0,staging,v3,0.99,10000,True,2026-04-15T13:37:04.759658Z
ep_c9bed532,cus_ad61fe25,production,v3,0.99,10000,True,2026-01-07T13:37:04.759677Z
ep_f0e077b7,cus_11dbfc3f,development,v1,0.99,600,True,2025-09-27T13:37:04.759695Z
ep_33f4da26,cus_d4060238,production,v1,0.99,10000,True,2025-11-11T13:37:04.759712Z
ep_90f46443,cus_9e134787,development,v3,0.99,60,True,2025-12-16T13:37:04.759729Z
ep_3aaa3845,cus_4e70c904,staging,v3,0.99,60,True,2025-10-27T13:37:04.759745Z
ep_fc5246cb,cus_02ced190,development,v1,0.99,3000,True,2026-05-06T13:37:04.759783Z
ep_4487d73b,cus_6f8b678c,staging,v3,0.99,3000,True,2025-05-27T13:37:04.759801Z
ep_6abab592,cus_f47ee72e,staging,v3,0.8,60,False,2025-08-02T13:37:04.759818Z
ep_f0a72048,cus_e477ddc1,staging,v2,0.99,60,True,2025-06-10T13:37:04.759838Z
ep_62ff0bea,cus_a10fb4ab,development,v3,0.8,10000,True,2026-03-06T13:37:04.759855Z
ep_cd9ccaae,cus_0ebf6058,development,v1,0.5,3000,True,2025-07-07T13:37:04.759875Z
ep_73ccba3b,cus_5a778589,production,v1,0.5,3000,True,2026-05-04T13:37:04.759891Z
ep_f49e6b4d,cus_ff7cd56f,development,v2,0.99,10000,True,2025-08-06T13:37:04.759907Z
ep_a07e6f0d,cus_6665d177,development,v3,0.99,10000,True,2025-07-20T13:37:04.759923Z
ep_18303859,cus_97373b5e,staging,v3,0.8,60,False,2026-04-13T13:37:04.759939Z
ep_100d2e3a,cus_033dfe63,staging,v3,0.99,60,True,2025-05-20T13:37:04.759954Z
ep_b1949468,cus_f09eadbd,development,v1,0.1,60,True,2025-11-06T13:37:04.759969Z
ep_df84ac09,cus_f44f1851,staging,v1,0.99,60,True,2025-11-10T13:37:04.759984Z
