event_id,delivery_state,failure_reason,safe_to_replay,recommended_action
evt_69b785d3b765,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_c5fb5e0d5e84,delivered,none,False,none
evt_db8477863a6c,delivered,none,False,none
evt_d9f122c2e5db,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_5c5b35a05bc8,expired,invalid_signature,True,verify_signature_config
evt_87625eccbec0,delivered,none,False,none
evt_77b836f110bb,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_f1a55715b97b,delivered,none,False,none
evt_a75cf8074088,expired,payload_too_large,False,reduce_payload_size
evt_bb3bc6b50bdc,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_7db61483191e,expired,payload_too_large,False,reduce_payload_size
evt_25ab06afed3d,delivered,none,False,none
evt_16381c9f33c3,delivered,none,False,none
evt_ebe992eb60f5,expired,payload_too_large,False,reduce_payload_size
evt_ea06cf939d54,expired,payload_too_large,False,reduce_payload_size
evt_4f85315bae7d,expired,payload_too_large,False,reduce_payload_size
evt_a2be6d03e309,delivered,none,False,none
evt_394bed7c9ae0,expired,malformed_response,True,investigate
evt_6b21d6b45a81,expired,payload_too_large,False,reduce_payload_size
evt_105f1909d04b,expired,payload_too_large,False,reduce_payload_size
evt_8ebe2c28c713,expired,payload_too_large,False,reduce_payload_size
evt_7e16132df535,expired,payload_too_large,False,reduce_payload_size
evt_447cbb524e5e,delivered,none,False,none
evt_186a032e9eac,delivered,none,False,none
evt_1a1d5cd58294,delivered,none,False,none
evt_e4b138a230cb,delivered,none,False,none
evt_7cb88db393f0,expired,payload_too_large,False,reduce_payload_size
evt_863f0ed75392,delivered,none,False,none
evt_4b57dffe4882,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_83804691d804,delivered,none,False,none
evt_98e706eee91a,expired,payload_too_large,False,reduce_payload_size
evt_51bc90fa70e8,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_b3209ec1ee64,expired,payload_too_large,False,reduce_payload_size
evt_8e26ca8619da,expired,payload_too_large,False,reduce_payload_size
evt_d2abd1321c22,delivered,none,False,none
evt_a87303626a1c,expired,payload_too_large,False,reduce_payload_size
evt_041d9d5b2e1c,expired,payload_too_large,False,reduce_payload_size
evt_fbd25951f338,delivered,none,False,none
evt_9960dc8b082d,expired,payload_too_large,False,reduce_payload_size
evt_dbebc0dc86cd,expired,payload_too_large,False,reduce_payload_size
evt_3d94ff9e903c,delivered,none,False,none
evt_d811ce4405e0,delivered,none,False,none
evt_6891fe0c09da,expired,payload_too_large,False,reduce_payload_size
evt_b887a9f620b1,delivered,none,False,none
evt_4d5bd7f50309,delivered,none,False,none
evt_c4d28b8f0d0e,expired,payload_too_large,False,reduce_payload_size
evt_76f32c045977,expired,payload_too_large,False,reduce_payload_size
evt_d9897ffb8279,delivered,none,False,none
evt_4141aed968b5,delivered,none,False,none
evt_b0891b5c0790,delivered,none,False,none
evt_de99de2a353d,delivered,none,False,none
evt_fdb7b5b20ecb,delivered,none,False,none
evt_dc5793471ce6,expired,payload_too_large,False,reduce_payload_size
evt_0404bb972aa1,delivered,none,False,none
evt_e3465a7ee407,expired,payload_too_large,False,reduce_payload_size
evt_e7cab3912c5a,delivered,none,False,none
evt_73df5d361217,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_7070ff1df9f4,expired,payload_too_large,False,reduce_payload_size
evt_b99ef7d6fdfd,delivered,none,False,none
evt_7b04b7a33441,expired,payload_too_large,False,reduce_payload_size
evt_46730ae96e75,delivered,none,False,none
evt_354fea34851b,delivered,none,False,none
evt_500a36322548,delivered,none,False,none
evt_90adc3b66e9e,expired,timeout,True,investigate
evt_b8adbca12f6f,delivered,none,False,none
evt_1a97fbfadc8c,delivered,none,False,none
evt_e06ffa5eac94,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_d1fd43b5850e,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_7c75eca32d6e,delivered,none,False,none
evt_beceea8f87d3,delivered,none,False,none
evt_824db4156f60,expired,payload_too_large,False,reduce_payload_size
evt_4c81466af93c,delivered,none,False,none
evt_736e8fb0edfa,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_9dd96053d5a5,duplicate,duplicate_event,False,fix_retry_logic
evt_e7e69733f361,expired,payload_too_large,False,reduce_payload_size
evt_188a101538bc,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_934ba0cd55a8,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_38099c415ff8,expired,payload_too_large,False,reduce_payload_size
evt_6f7a6b2ec4be,expired,payload_too_large,False,reduce_payload_size
evt_efb88099ff30,delivered,none,False,none
evt_23c5b64ef170,expired,payload_too_large,False,reduce_payload_size
evt_d78b5e16459b,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_b21fc9811e53,delivered,none,False,none
evt_647919f61a6e,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_5edf6577f529,delivered,none,False,none
evt_b3fb90fc24e3,delivered,none,False,none
evt_6a9820a8f3dc,duplicate,duplicate_event,False,fix_retry_logic
evt_78b8c6b7b236,delivered,none,False,none
evt_2077d7160aeb,delivered,none,False,none
evt_6728c66988a0,expired,payload_too_large,False,reduce_payload_size
evt_b6f86646af9a,delivered,none,False,none
evt_073e47045114,delivered,none,False,none
evt_8f40d00740c1,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_c217b0ff3438,expired,payload_too_large,False,reduce_payload_size
evt_ccd585d3f1b6,expired,payload_too_large,False,reduce_payload_size
evt_97bef5160ecf,delivered,none,False,none
evt_228b3eaadfd8,delivered,none,False,none
evt_42b0dc4e94ff,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_da08e31f5443,expired,payload_too_large,False,reduce_payload_size
evt_f1b25c1ced65,expired,payload_too_large,False,reduce_payload_size
evt_d20a2ab363a2,expired,payload_too_large,False,reduce_payload_size
evt_b6e2664cf9ae,delivered,none,False,none
evt_e32dc237e6af,expired,payload_too_large,False,reduce_payload_size
evt_ab188d96fb0a,expired,payload_too_large,False,reduce_payload_size
evt_54dbb89a0aa0,expired,payload_too_large,False,reduce_payload_size
evt_57b474c73ec2,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_63061fe81dd3,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_68daa270c790,delivered,none,False,none
evt_83944b07aa70,expired,payload_too_large,False,reduce_payload_size
evt_de4532ef37f6,delivered,none,False,none
evt_f8f75b3b8b96,expired,payload_too_large,False,reduce_payload_size
evt_90aaaccf1c5c,expired,payload_too_large,False,reduce_payload_size
evt_c74e6a1408e5,expired,replay_without_fix,False,investigate
evt_fbd6e3e11d60,delivered,none,False,none
evt_7562b46ee65a,expired,payload_too_large,False,reduce_payload_size
evt_4bf8d2eb5836,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_9e00f32b8939,expired,invalid_signature,True,verify_signature_config
evt_8a8aebe6339d,expired,payload_too_large,False,reduce_payload_size
evt_aabd1d0fffcd,expired,malformed_response,True,investigate
evt_3c6498443865,delivered,none,False,none
evt_a101815e301c,expired,payload_too_large,False,reduce_payload_size
evt_26ca26f0d847,delivered,none,False,none
evt_60e7b092ef7f,expired,payload_too_large,False,reduce_payload_size
evt_890ad9cca16c,expired,payload_too_large,False,reduce_payload_size
evt_59e390d2c842,delivered,none,False,none
evt_152d6a5984fa,expired,payload_too_large,False,reduce_payload_size
evt_9ecccb98ca76,expired,payload_too_large,False,reduce_payload_size
evt_6e12250da70a,expired,payload_too_large,False,reduce_payload_size
evt_e8b647b28755,expired,malformed_response,True,investigate
evt_070210cf7696,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_17d10289e1f4,expired,payload_too_large,False,reduce_payload_size
evt_41d756b6386e,delivered,none,False,none
evt_a277d9523e97,delivered,none,False,none
evt_6fdbbcb42799,expired,payload_too_large,False,reduce_payload_size
evt_ab68a0e7d1d6,expired,payload_too_large,False,reduce_payload_size
evt_1b7081c83c99,expired,payload_too_large,False,reduce_payload_size
evt_e8b599049d62,delivered,none,False,none
evt_e954426e9ffa,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_bf0872336f15,expired,endpoint_deleted,False,contact_customer_endpoint_deleted
evt_cccb12f1a235,expired,payload_too_large,False,reduce_payload_size
evt_8a98f6ad50aa,expired,payload_too_large,False,reduce_payload_size
evt_5b8ef34c2829,expired,invalid_signature,True,verify_signature_config
evt_9e4cf33444d5,expired,payload_too_large,False,reduce_payload_size
evt_f0e97a825a87,expired,payload_too_large,False,reduce_payload_size
evt_9165114b149e,expired,payload_too_large,False,reduce_payload_size
evt_5b5ac569bb61,delivered,none,False,none
evt_b5b87b997c80,delivered,none,False,none
evt_11dce6b31683,expired,payload_too_large,False,reduce_payload_size
evt_b11f61887b54,delivered,none,False,none
evt_576dc2b89e4c,delivered,none,False,none
evt_01ff1e10173a,delivered,none,False,none
evt_a2d08faa70cb,expired,malformed_response,True,investigate
evt_106e915084a0,expired,rate_limited,True,apply_exponential_backoff
evt_60b7048397cc,delivered,none,False,none
evt_ce724293238c,expired,payload_too_large,False,reduce_payload_size
evt_cf3f0b013ac9,expired,payload_too_large,False,reduce_payload_size
evt_435e41fe31b7,expired,payload_too_large,False,reduce_payload_size
evt_43092ef6ba3b,delivered,none,False,none
