event_id,event_type,customer_id,invoice_id,created_at,payload_size_kb,idempotency_key,priority
evt_69b785d3b765,invoice.validated,cus_deb17d12,inv_3d19222f,2026-04-15T14:37:04.799862Z,311.94,idk_859dc296,normal
evt_c5fb5e0d5e84,invoice.rejected,cus_c7c2be0c,,2026-04-15T14:37:04.812224Z,1464.45,idk_56babade,high
evt_db8477863a6c,invoice.created,cus_f4412bc1,inv_8fc8c4ee,2026-04-15T14:37:04.823188Z,2462.94,idk_d5e3741d,high
evt_d9f122c2e5db,compliance.failed,cus_6665d177,,2026-04-15T14:37:04.845325Z,2448.95,idk_bcd6eebb,normal
evt_5c5b35a05bc8,invoice.validated,cus_4f8e74cf,,2026-04-15T14:37:04.907715Z,1490.67,idk_cdf8ce5c,high
evt_87625eccbec0,compliance.submitted,cus_92c8c490,inv_34c3a022,2026-04-15T14:37:04.911106Z,120.49,idk_9db60e7d,normal
evt_77b836f110bb,invoice.paid,cus_a10fb4ab,inv_eb33e987,2026-04-15T14:37:04.922898Z,1164.51,idk_4cf80943,low
evt_f1a55715b97b,compliance.submitted,cus_e477ddc1,inv_95d51ed2,2026-04-15T14:37:04.955217Z,2476.68,idk_98561ab1,high
evt_a75cf8074088,compliance.failed,cus_6de90fa4,inv_6478ab09,2026-04-15T14:37:04.969007Z,3392.24,idk_9ae023bb,high
evt_bb3bc6b50bdc,invoice.rejected,cus_471e9d57,inv_d01385c1,2026-04-15T15:37:04.784448Z,3662.72,idk_40a260ca,high
evt_7db61483191e,compliance.failed,cus_b237ecf5,inv_33ad47cd,2026-04-15T15:37:04.797256Z,3251.34,idk_7c56f796,high
evt_25ab06afed3d,invoice.validated,cus_deb17d12,inv_5d39ce9e,2026-04-15T15:37:04.810605Z,1424.1,idk_eca10702,normal
evt_16381c9f33c3,compliance.failed,cus_e478c79c,inv_a31572d6,2026-04-15T15:37:04.822642Z,1843.42,idk_be8a54dc,high
evt_ebe992eb60f5,invoice.validated,cus_5bab8560,,2026-04-15T15:37:04.836160Z,4656.82,idk_3b26e5e2,high
evt_ea06cf939d54,invoice.created,cus_c7c6e1e1,inv_28b14d6c,2026-04-15T15:37:04.865688Z,4645.34,idk_07918111,low
evt_4f85315bae7d,compliance.failed,cus_52b2dc3c,inv_abfeb495,2026-04-15T15:37:04.892998Z,4253.5,idk_602b1465,low
evt_a2be6d03e309,invoice.rejected,cus_e477ddc1,inv_d5adc1b4,2026-04-15T15:37:04.916810Z,861.66,idk_d9ab979d,normal
evt_394bed7c9ae0,invoice.created,cus_4f7d6cfe,,2026-04-15T15:37:04.917682Z,937.03,idk_40284a8c,high
evt_6b21d6b45a81,invoice.validated,cus_20786a5a,inv_2274ce60,2026-04-15T15:37:04.921789Z,3203.68,idk_ce114ee7,low
evt_105f1909d04b,invoice.created,cus_1b3e0074,,2026-04-15T15:37:04.942091Z,4677.6,idk_9af46e64,low
evt_8ebe2c28c713,invoice.validated,cus_6783700b,,2026-04-15T15:37:04.951934Z,4240.07,idk_256b182b,normal
evt_7e16132df535,invoice.rejected,cus_6665d177,inv_863fe85c,2026-04-15T15:37:04.966009Z,3874.59,idk_1286c3f1,high
evt_447cbb524e5e,invoice.validated,cus_c338d17d,,2026-04-15T15:37:04.972413Z,312.72,idk_06e45d24,low
